Date,Open,High,Low,Close,UpperBand,LowerBand,MiddleBand
1707087600000,165.89,166.0,165.24,165.24,0,0,0
1707088500000,165.71,165.71,165.71,165.71,0,0,0
1707089400000,165.99,166.06,165.57,165.61,0,0,0
1707090300000,166.01,166.01,165.95,165.98,0,0,0
1707091200000,166.12,166.5,165.91,165.91,0,0,0
1707092100000,165.91,166.17,165.36,165.97,0,0,0
1707093000000,165.95,165.96,165.5,165.74,0,0,0
1707093900000,165.76,166.08,165.46,165.75,0,0,0
1707094800000,165.78,165.99,165.22,165.22,0,0,0
1707095700000,165.52,166.3,165.52,166.3,0,0,0
1707096600000,166.3,167.1,166.3,167.0,0,0,0
1707097500000,167.19,167.61,166.54,167.42,0,0,0
1707098400000,167.37,168.01,167.27,167.84,0,0,0
1707099300000,167.89,168.2,167.51,167.79,0,0,0
1707100200000,167.64,167.88,167.46,167.48,0,0,0
1707101100000,167.5,167.56,166.72,166.74,0,0,0
1707102000000,166.83,166.83,166.5,166.5,0,0,0
1707102900000,166.47,166.55,166.31,166.31,0,0,0
1707103800000,166.36,166.69,166.28,166.29,0,0,0
1707104700000,166.29,166.55,166.29,166.55,0,0,0
1707105600000,166.63,167.32,166.63,167.17,0,0,0
1707106500000,167.03,167.45,167.03,167.45,168.03038747565024618181818182,164.87597616071339018181818182,166.45318181818181818181818182
1707107400000,167.41,167.55,167.38,167.51,168.09923634606690436363636364,165.01349092666036836363636364,166.55636363636363636363636364
1707108300000,167.43,167.58,167.21,167.48,168.17935901803774781818181818,165.09427734559861581818181818,166.63681818181818181818181818
1707109200000,167.44,167.64,167.39,167.62,168.25464697263788818181818182,165.20171666372574818181818182,166.72818181818181818181818182
1707110100000,167.66,167.9,167.45,167.45,168.313285516327844,165.276714483672156,166.795
1707111000000,167.42,167.48,167.2,167.29,168.33813178523767272727272727,165.37732276021687272727272727,166.85772727272727272727272727
1707111900000,167.23,167.27,167.18,167.18,168.34628840524348272727272727,165.47916614021106272727272727,166.91272727272727272727272727
1707112800000,167.15,167.21,166.8,166.89,168.304480903525352,165.625519096474648,166.965
1707113700000,166.79,166.84,166.44,166.53,168.24752350575126345454545455,165.75338558515782745454545455,167.00045454545454545454545455
1707114600000,166.46,166.51,166.27,166.31,168.077459355533214,166.022540644466786,167.05
1707115500000,166.31,166.48,166.21,166.21,168.08592061341360090909090909,166.00589756840458090909090909,167.04590909090909090909090909
1707116400000,166.2,166.2,166.04,166.08,168.11938392547570309090909091,165.88879789270611509090909091,167.00409090909090909090909091
1707117300000,166.0,166.94,165.93,166.92,168.08211206694985236363636364,165.88061520577742036363636364,166.98136363636363636363636364
1707118200000,166.6,166.95,166.6,166.93,167.975005489664844,165.904994510335156,166.94
1707119100000,166.97,167.01,165.86,165.86,167.91112170471228327272727273,165.79342374983317127272727273,166.85227272727272727272727273
1707120000000,165.84,165.91,165.57,165.84,167.87936129574088472727272727,165.67609324971366072727272727,166.77772727272727272727272727
1707120900000,165.86,166.34,165.79,166.34,167.87617149714354254545454545,165.64291941194736654545454545,166.75954545454545454545454545
1707121800000,166.35,166.77,166.18,166.77,167.88268412354826581818181818,165.66095224008809781818181818,166.77181818181818181818181818
1707122700000,166.52,166.63,166.16,166.16,167.888885306344994,165.641114693655006,166.765
1707123600000,166.24,166.24,165.99,166.08,167.89871507048773945454545455,165.61219402042135145454545455,166.75545454545454545454545455
1707124500000,166.04,166.71,165.95,166.7,167.90233543397206127272727273,165.62221002057339327272727273,166.76227272727272727272727273
1707125400000,166.32,166.32,165.79,165.84,167.88906306524499181818181818,165.51457329839137181818181818,166.70181818181818181818181818
1707126300000,165.86,166.3,165.81,165.91,167.81595018250109581818181818,165.44768618113526781818181818,166.63181818181818181818181818
1707127200000,165.93,166.05,165.63,165.64,167.73505425208270981818181818,165.35858211155365381818181818,166.54681818181818181818181818
1707128100000,165.65,165.73,165.53,165.73,167.62898278057083127272727273,165.30556267397462327272727273,166.46727272727272727272727273
1707129000000,165.99,166.58,165.92,166.58,167.46945007244054,165.37054992755946,166.42
1707129900000,166.42,166.5,165.72,165.78,167.32382480785969909090909091,165.36435701032211909090909091,166.34409090909090909090909091
1707130800000,165.85,166.27,165.82,166.13,167.18266086164914836363636364,165.40006641107812436363636364,166.29136363636363636363636364
1707131700000,166.39,166.43,166.26,166.43,167.06329961196267127272727273,165.45124584258278327272727273,166.25727272727272727272727273
1707132600000,166.22,166.35,165.98,166.22,166.98407126461478381818181818,165.46956509902157981818181818,166.22681818181818181818181818
1707133500000,165.95,165.95,165.6,165.6,166.97258623043386654545454545,165.39650467865704254545454545,166.18454545454545454545454545
1707134400000,165.65,165.65,165.38,165.4,166.99360174362264218181818182,165.29276189274099418181818182,166.14318181818181818181818182
1707135300000,165.48,165.77,165.48,165.77,166.98696601605526218181818182,165.25939762030837418181818182,166.12318181818181818181818182
1707136200000,165.65,165.65,165.05,165.28,167.01942715889926781818181818,165.15420920473709581818181818,166.08681818181818181818181818
1707137100000,165.16,165.8,165.11,165.23,166.933806355151436,165.086193644848564,166.01
1707138000000,165.23,165.23,164.88,165.2,166.82247724925167836363636364,165.04025002347559436363636364,165.93136363636363636363636364
1707138900000,165.37,165.43,164.64,164.64,166.91709127025068490909090909,164.83472691156749690909090909,165.87590909090909090909090909
1707139800000,164.76,165.08,164.45,164.92,166.94897629400166509090909091,164.71920552418015309090909091,165.83409090909090909090909091
1707140700000,164.74,164.83,164.25,164.73,166.94270909076922890909090909,164.57910909104895290909090909,165.76090909090909090909090909
1707141600000,164.68,164.68,164.25,164.54,166.86014344604389254545454545,164.45894746304701654545454545,165.65954545454545454545454545
1707142500000,164.62,164.74,164.1,164.36,166.87240072145593672727272727,164.28305382399860872727272727,165.57772727272727272727272727
1707143400000,164.34,164.48,164.0,164.18,166.88982116917411836363636364,164.09290610355315436363636364,165.49136363636363636363636364
1707144300000,164.3,164.63,163.98,164.51,166.74294749214459981818181818,164.04068887149176381818181818,165.39181818181818181818181818
1707145200000,164.15,164.36,163.68,163.81,166.78612147495706254545454545,163.81296943413384654545454545,165.29954545454545454545454545
1707146100000,163.85,163.88,163.63,163.84,166.78471475514684145454545455,163.62619433576224945454545455,165.20545454545454545454545455
1707147000000,163.65,164.34,163.64,163.84,166.78855291032512163636363636,163.45871981694760563636363636,165.12363636363636363636363636
1707147900000,163.85,163.89,163.6,163.78,166.76760445047858,163.30239554952142,165.035
1707148800000,163.79,164.4,163.79,164.36,166.54964776879661109090909091,163.31853404938520709090909091,164.93409090909090909090909091
1707149700000,164.44,164.87,164.38,164.82,166.46356353749115745454545455,163.31734555341793345454545455,164.89045454545454545454545455
1707150600000,164.6,164.7,164.08,164.15,166.30464840714715345454545455,163.29626068376193745454545455,164.80045454545454545454545455
1707151500000,164.21,164.66,164.16,164.48,166.04111924715817781818181818,163.38251711647818581818181818,164.71181818181818181818181818
1707152400000,164.54,164.89,164.39,164.89,165.81094499427684236363636364,163.49178227845043036363636364,164.65136363636363636363636364
1707153300000,164.91,165.17,164.85,164.85,165.70517616246241327272727273,163.52936929208304127272727273,164.61727272727272727272727273
1707154200000,164.81,165.12,164.81,165.06,165.65387480600523981818181818,163.54976155763112381818181818,164.60181818181818181818181818
1707155100000,165.02,165.25,164.4,164.41,165.462013606683270,163.617986393316730,164.54
1707156000000,164.4,164.56,164.39,164.5,165.36814736773393854545454545,163.64094354135697054545454545,164.50454545454545454545454545
1707156900000,164.5,164.54,164.42,164.54,165.27718060523735618181818182,163.66918303112628018181818182,164.47318181818181818181818182
1707157800000,164.67,164.73,164.47,164.47,165.178893521668472,163.701106478331528,164.44
1707158700000,164.52,165.19,164.44,165.11,165.24780083733672036363636364,163.67492643539055236363636364,164.46136363636363636363636364
1707159600000,165.14,165.3,164.87,165.17,165.29188830292123272727272727,163.65356624253331272727272727,164.47272727272727272727272727
1707160500000,165.26,165.94,165.18,165.75,165.49223780243900909090909091,163.54594401574280909090909091,164.51909090909090909090909091
1707161400000,165.79,166.4,165.43,165.69,165.66007088400846636363636364,163.48265638871880636363636364,164.57136363636363636363636364
1707162300000,165.75,165.77,165.51,165.59,165.79059370726033927272727273,163.46395174728511527272727273,164.62727272727272727272727273
1707163200000,165.76,165.76,165.41,165.51,165.88939175196478272727272727,163.48606279348976272727272727,164.68772727272727272727272727
1707164100000,165.66,165.66,165.25,165.42,165.96558020751769509090909091,163.49260161066412309090909091,164.72909090909090909090909091
1707165000000,165.57,165.82,165.4,165.79,166.06310068822389909090909091,163.57508112995791909090909091,164.81909090909090909090909091
1707165900000,165.75,166.0,165.48,166.0,166.17753506386173927272727273,163.65701039068371527272727273,164.91727272727272727272727273
1707166800000,166.04,166.3,165.74,165.75,166.21784030798088909090909091,163.79034151020092909090909091,165.00409090909090909090909091
1707167700000,165.99,165.99,164.93,165.02,166.15044999619946945454545455,163.97045909470962145454545455,165.06045454545454545454545455
1707168600000,165.09,165.54,164.92,165.49,166.17100545796457381818181818,164.05263090567178981818181818,165.11181818181818181818181818
1707169500000,165.27,165.27,164.62,164.62,166.17512783930984072727272727,164.03032670614470472727272727,165.10272727272727272727272727
1707170400000,164.54,164.73,164.36,164.55,166.14033689995259490909090909,164.10148128186558690909090909,165.12090909090909090909090909
1707171300000,164.55,164.55,164.3,164.31,166.15427191756866818181818182,164.07209171879496818181818182,165.11318181818181818181818182
1707172200000,164.24,164.52,163.89,164.52,166.16297331114964036363636364,164.02975396157763236363636364,165.09636363636363636363636364
1707173100000,164.51,164.73,164.46,164.73,166.16371186175001690909090909,164.01810632006816490909090909,165.09090909090909090909090909
1707174000000,164.73,164.8,164.46,164.7,166.15964666093091054545454545,163.98944424815999854545454545,165.07454545454545454545454545
1707174900000,164.77,165.0,164.77,165.0,166.14792155214010236363636364,164.05480572058717036363636364,165.10136363636363636363636364
1707175800000,164.95,165.47,164.95,165.47,166.16842219397396745454545455,164.12248689693512345454545455,165.14545454545454545454545455
1707176700000,165.45,165.51,165.44,165.44,166.18079440920982636363636364,164.19193286351744636363636364,165.18636363636363636363636364
1707177600000,165.09,165.09,164.78,164.78,166.16212879142970945454545455,164.23878029947938145454545455,165.20045454545454545454545455
1707178500000,164.9,165.06,164.9,164.97,166.15991903403972709090909091,164.22826278414209109090909091,165.19409090909090909090909091
1707179400000,164.97,165.47,164.97,165.4,166.17407631152971254545454545,164.23501459756119654545454545,165.20454545454545454545454545
1707180300000,165.38,165.44,165.0,165.0,166.11324493520629945454545455,164.22766415570279145454545455,165.17045454545454545454545455
1707181200000,164.93,165.67,164.93,165.67,166.11036670648397854545454545,164.22872420260693054545454545,165.16954545454545454545454545
1707182100000,165.69,165.8,165.62,165.8,166.14081113094546109090909091,164.21737068723635709090909091,165.17909090909090909090909091
1707183000000,165.86,166.01,165.42,165.53,166.143006655315434,164.216993344684566,165.18
1707183900000,165.55,165.69,164.88,165.69,166.17390275974991127272727273,164.21064269479554327272727273,165.19227272727272727272727273
1707184800000,165.78,166.2,165.62,166.2,166.25104735253866090909090909,164.17077082927952090909090909,165.21090909090909090909090909
1707185700000,166.2,166.66,166.15,166.15,166.28019321773328672727272727,164.15526132772125872727272727,165.21772727272727272727272727
1707186600000,166.42,166.62,166.42,166.62,166.45250844869008327272727273,164.06203700585537127272727273,165.25727272727272727272727273
1707187500000,166.62,166.67,166.44,166.65,166.65388595725512036363636364,164.00884131547215236363636364,165.33136363636363636363636364
1707188400000,166.61,166.61,166.08,166.35,166.75863160087293945454545455,163.98227749003615145454545455,165.37045454545454545454545455
1707189300000,166.29,166.56,166.28,166.47,166.87446513566352654545454545,164.03462577342738254545454545,165.45454545454545454545454545
1707190200000,166.34,166.49,166.22,166.25,166.93130687239103581818181818,164.13232949124532781818181818,165.53181818181818181818181818
1707191100000,166.23,166.33,165.91,165.95,166.90894213449787636363636364,164.30378513822939636363636364,165.60636363636363636363636364
1707192000000,166.01,166.49,165.84,166.16,166.91201958873259690909090909,164.44979859308558490909090909,165.68090909090909090909090909
1707192900000,166.44,166.63,166.44,166.54,166.97079985477867618181818182,164.55556378158496018181818182,165.76318181818181818181818182
1707193800000,166.56,166.68,166.56,166.61,167.013208728240356,164.686791271759644,165.85
1707194700000,166.48,166.55,166.09,166.15,167.01002937626583127272727273,164.79451607827962327272727273,165.90227272727272727272727273
1707195600000,165.97,166.5,165.69,166.5,167.06683065910444909090909091,164.83135115907736909090909091,165.94909090909090909090909091
1707196500000,166.43,166.43,166.29,166.4,167.10248862001500472727272727,164.88296592543954072727272727,165.99272727272727272727272727
1707197400000,166.43,166.52,166.3,166.33,167.04552385014858418181818182,165.08083978621505218181818182,166.06318181818181818181818182
1707198300000,166.47,166.55,165.96,166.22,166.979809704104768,165.260190295895232,166.12
1707199200000,166.27,166.61,166.27,166.61,166.997540410723222,165.352459589276778,166.175
1707200100000,166.57,166.67,166.53,166.57,166.90480657803589436363636364,165.58792069469137836363636364,166.24636363636363636363636364
1707201000000,166.56,166.58,165.52,165.91,166.88436361000553527272727273,165.63018184453991927272727273,166.25727272727272727272727273
1707201900000,165.88,166.04,165.63,165.64,166.901376165583996,165.598623834416004,166.25
1707202800000,165.77,165.77,147.37,148.1,173.05471694404549272727272727,157.86073760140905272727272727,165.45772727272727272727272727
1707203700000,148.34,148.43,147.35,147.78,175.22059338513884363636363636,154.06667934213388363636363636,164.64363636363636363636363636
1707204600000,148.01,148.1,144.22,146.66,176.68132673656128545454545455,150.82958235434780545454545455,163.75545454545454545454545455
1707205500000,146.52,148.1,145.2,147.84,177.39107025664333818181818182,148.45529337972029818181818182,162.92318181818181818181818182
1707206400000,147.84,147.9,145.26,146.41,177.91173048324207454545454545,146.09736042584883454545454545,162.00454545454545454545454545
1707207300000,146.43,146.95,143.43,144.55,178.33410930664006,143.66589069335994,161.00
1707208200000,144.57,145.17,140.63,142.81,178.66090882617674,141.19909117382326,159.93
1707209100000,142.8,143.5,141.85,142.74,178.65396520599635636363636364,139.04876206673091636363636364,158.85136363636363636363636364
1707210000000,142.51,142.51,139.1,139.78,178.68458112670821818181818182,136.61178250965541818181818182,157.64818181818181818181818182
1707210900000,139.8,140.22,135.54,136.78,178.73087329354732727272727273,133.91367216099812727272727273,156.32227272727272727272727273
1707211800000,136.79,142.06,136.13,138.42,178.22297945019323636363636364,131.89974782253403636363636364,155.06136363636363636363636364
1707212700000,138.36,139.33,137.34,138.8,177.34240045813074545454545455,130.25850863277834545454545455,153.80045454545454545454545455
1707213600000,138.81,141.03,138.61,140.04,176.10830832160027272727272727,129.07714622385427272727272727,152.59272727272727272727272727
1707214500000,139.96,141.4,139.79,140.78,174.66918441958925454545454545,128.20990648950165454545454545,151.43954545454545454545454545
1707215400000,140.73,141.9,138.82,139.12,172.9935922611662,127.3964077388338,150.195
1707216300000,139.08,141.46,137.83,140.56,171.00659851037674545454545455,127.03431058053234545454545455,149.02045454545454545454545455
1707217200000,140.48,140.48,139.12,139.49,168.76411269020394545454545455,126.83679640070514545454545455,147.80045454545454545454545455
1707218100000,139.52,140.02,139.01,139.96,166.18398706095680181818181818,127.02964930267956181818181818,146.60681818181818181818181818
1707219000000,139.91,140.27,139.57,139.69,163.08133414738749818181818182,127.68502948897613818181818182,145.38318181818181818181818182
1707219900000,139.65,139.65,137.0,138.22,159.40130180860833454545454545,128.78778910048257454545454545,144.09454545454545454545454545
1707220800000,138.2,138.2,136.41,136.67,155.04240668020722545454545455,130.48850241070186545454545455,142.76545454545454545454545455
1707221700000,136.66,136.66,132.2,133.9,149.16826840782301272727272727,133.47718613763153272727272727,141.32272727272727272727272727
1707222600000,133.85,134.33,130.0,132.07,148.75764997938706909090909091,132.43053183879474909090909091,140.59409090909090909090909091
1707223500000,132.0,133.01,131.6,132.99,148.04342043386770181818181818,131.80021592976866181818181818,139.92181818181818181818181818
1707224400000,132.89,132.89,121.51,123.36,149.01606292133991272727272727,128.70939162411463272727272727,138.86272727272727272727272727
1707225300000,123.42,125.92,122.72,124.62,148.80109277941306727272727273,126.81345267513238727272727273,137.80727272727272727272727273
1707226200000,124.85,126.36,123.88,125.82,148.27447213672767636363636364,125.46825513599959636363636364,136.87136363636363636363636364
1707227100000,125.81,126.76,122.61,124.93,147.89826331919809454545454545,124.06082758989281454545454545,135.97954545454545454545454545
1707228000000,124.82,126.06,123.04,124.85,147.54980860437731818181818182,122.77655503198631818181818182,135.16318181818181818181818182
1707228900000,124.8,125.8,124.11,124.53,147.01643776984176545454545455,121.65447132106732545454545455,134.33545454545454545454545455
1707229800000,124.61,124.97,118.1,119.02,147.33827766913628181818181818,119.44535869450008181818181818,133.39181818181818181818181818
1707230700000,119.12,123.74,118.6,120.12,147.53918625381907454545454545,117.72990465527183454545454545,132.63454545454545454545454545
1707231600000,120.28,120.69,107.61,108.8,148.95453672992771818181818182,113.62182690643591818181818182,131.28818181818181818181818182
1707232500000,108.82,113.05,107.04,111.2,149.24079747652676363636363636,110.82647525074596363636363636,130.03363636363636363636363636
1707233400000,111.11,112.51,106.59,112.15,148.82660305070909090909090909,108.70521513110909090909090909,128.76590909090909090909090909
1707234300000,112.26,121.5,112.25,119.15,147.50919328053071272727272727,108.05626126492383272727272727,127.78272727272727272727272727
1707235200000,119.07,119.3,114.04,114.76,146.46672234192820545454545455,106.88418674898088545454545455,126.67545454545454545454545455
1707236100000,114.63,117.47,113.85,114.99,144.90562869493691818181818182,106.12073494142671818181818182,125.51318181818181818181818182
1707237000000,114.96,115.93,112.58,113.08,143.36240890387097272727272727,105.26304564158357272727272727,124.31272727272727272727272727
1707237900000,113.01,114.04,110.56,111.09,141.52814927256040545454545455,104.47275981834868545454545455,123.00045454545454545454545455
1707238800000,110.91,112.92,110.3,111.07,139.35574650508829454545454545,104.04334440400261454545454545,121.69954545454545454545454545
1707239700000,111.08,112.93,108.09,111.09,137.09470039838149636363636364,103.83802687434577636363636364,120.46636363636363636363636364
1707240600000,110.99,110.99,108.82,110.11,134.82940054470060909090909091,103.68878127348120909090909091,119.25909090909090909090909091
1707241500000,110.11,112.07,105.77,107.05,133.02545759910192363636363636,103.05181512817080363636363636,118.03863636363636363636363636
1707242400000,106.9,108.74,103.0,105.13,131.41229087171506909090909091,102.21589094646674909090909091,116.81409090909090909090909091
1707243300000,104.93,105.24,100.12,100.7,129.63368738277291636363636364,101.05903988995435636363636364,115.34636363636363636363636364
1707244200000,100.75,104.18,100.65,101.42,129.30689204682612909090909091,99.39128977135568909090909091,114.34909090909090909090909091
1707245100000,101.53,105.69,101.3,102.64,128.36634382325412,98.33365617674588,113.35
1707246000000,102.48,103.5,99.79,101.01,127.04850247153852727272727273,97.39604298300692727272727273,112.22227272727272727272727273
1707246900000,101.01,101.45,97.15,99.18,125.74547375317232181818181818,96.35816261046404181818181818,111.05181818181818181818181818
1707247800000,99.12,100.05,95.28,98.56,124.13781940259288181818181818,95.57581696104348181818181818,109.85681818181818181818181818
1707248700000,98.64,99.39,97.51,99.25,122.12319857447191272727272727,95.29225597098263272727272727,108.70772727272727272727272727
1707249600000,99.28,103.0,99.21,101.56,120.85277098662432909090909091,94.97541083155748909090909091,107.91409090909090909090909091
1707250500000,101.51,108.0,101.51,106.58,119.09396871542942363636363636,95.50330401184330363636363636,107.29863636363636363636363636
1707251400000,106.51,108.37,106.0,107.85,119.03543097276962545454545455,95.47547811813946545454545455,107.25545454545454545454545455
1707252300000,107.88,108.94,106.36,108.0,118.76997505065162,95.45002494934838,107.11
1707253200000,107.86,109.05,107.1,108.54,118.41764139901149090909090909,95.47417678280669090909090909,106.94590909090909090909090909
1707254100000,108.61,109.09,105.65,106.54,116.53326265915465272727272727,96.21219188629989272727272727,106.37272727272727272727272727
1707255000000,106.63,106.81,103.1,104.58,115.40600490158410,96.41399509841590,105.91
1707255900000,104.58,106.29,103.51,104.95,114.08603736842280363636363636,96.82123535884992363636363636,105.45363636363636363636363636
1707256800000,105.02,105.02,101.47,103.03,113.00786143782340181818181818,96.98577492581296181818181818,104.99681818181818181818181818
1707257700000,102.98,103.59,102.03,102.79,112.21840057709869454545454545,97.02069033199221454545454545,104.61954545454545454545454545
1707258600000,102.76,104.74,101.67,103.68,111.34668114990896363636363636,97.22059157736376363636363636,104.28363636363636363636363636
1707259500000,103.61,106.9,102.72,105.11,110.43771928272828181818181818,97.58591708090808181818181818,104.01181818181818181818181818
1707260400000,105.18,106.02,102.79,103.2,109.55058960842773272727272727,97.84486493702681272727272727,103.69772727272727272727272727
1707261300000,103.23,104.53,102.75,103.78,109.21703877916268909090909091,97.88114303901912909090909091,103.54909090909090909090909091
1707262200000,103.84,105.48,103.52,105.14,109.21800196170449454545454545,97.88108894738641454545454545,103.54954545454545454545454545
1707263100000,105.06,105.36,103.82,105.36,109.33554860069061636363636364,98.18717867203665636363636364,103.76136363636363636363636364
1707264000000,105.33,108.84,103.6,106.7,109.60622936488119636363636364,98.39649790784607636363636364,104.00136363636363636363636364
1707264900000,106.8,107.53,106.29,107.04,109.91068391258995636363636364,98.49204336013731636363636364,104.20136363636363636363636364
1707265800000,107.05,107.13,104.33,105.24,109.94276420814586363636363636,98.84450851912686363636363636,104.39363636363636363636363636
1707266700000,105.19,105.77,104.99,105.33,109.74244888503095818181818182,99.60391475133267818181818182,104.67318181818181818181818182
1707267600000,105.34,107.93,104.67,107.65,109.53956900065225636363636364,100.63315827207501636363636364,105.08636363636363636363636364
1707268500000,107.67,109.7,107.04,108.81,109.44562753635623090909090909,101.59619064546195090909090909,105.52090909090909090909090909
1707269400000,108.82,113.0,108.31,112.03,110.39548486560332181818181818,101.59815149803304181818181818,105.99681818181818181818181818
1707270300000,111.96,112.8,110.03,112.5,111.43177136722379090909090909,101.10004681459439090909090909,106.26590909090909090909090909
1707271200000,112.57,114.82,111.52,111.9,112.09497846038244,100.80502153961756,106.45
1707272100000,111.98,114.07,110.85,112.05,112.71646083922028909090909091,100.55172097896152909090909091,106.63409090909090909090909091
1707273000000,112.02,114.28,110.7,113.81,113.61661262976838363636363636,100.13066009750434363636363636,106.87363636363636363636363636
1707273900000,113.81,116.64,112.91,116.06,115.05503987628193636363636364,99.55768739644533636363636364,107.30636363636363636363636364
1707274800000,116.15,117.78,115.4,116.03,116.27925706893804181818181818,99.37437929469832181818181818,107.82681818181818181818181818
1707275700000,116.1,118.11,115.64,117.64,117.68355710282480363636363636,99.12371562444792363636363636,108.40363636363636363636363636
1707276600000,117.6,117.6,115.07,116.02,118.48194086017122909090909091,99.50624095801058909090909091,108.99409090909090909090909091
1707277500000,116.0,117.24,115.48,116.85,119.25649704048273818181818182,100.00986659588089818181818182,109.63318181818181818181818182
1707278400000,116.81,117.35,114.08,117.01,119.96483352451558909090909091,100.51334829366622909090909091,110.23909090909090909090909091
1707279300000,117.0,119.2,116.4,118.12,120.81546964039962545454545455,100.84543945050946545454545455,110.83045454545454545454545455
1707280200000,118.12,119.2,116.75,118.07,121.34588791432183636363636364,101.66683935840543636363636364,111.50636363636363636363636364
1707281100000,118.07,118.72,116.21,118.0,121.74219722076389272727272727,102.56325732469065272727272727,112.15272727272727272727272727
1707282000000,117.99,119.94,117.28,119.58,122.36540040803814909090909091,103.25278141014366909090909091,112.80909090909090909090909091
1707282900000,119.58,132.0,119.24,123.33,123.56023097212823090909090909,103.69158720968995090909090909,113.62590909090909090909090909
1707283800000,123.31,126.1,119.81,120.8,124.15033685293496181818181818,104.38329951070140181818181818,114.26681818181818181818181818
1707284700000,120.94,122.85,120.15,120.4,124.54633359175746909090909091,105.20184822642434909090909091,114.87409090909090909090909091
1707285600000,120.39,125.22,120.16,124.05,125.16631490209938909090909091,106.29186691608242909090909091,115.72909090909090909090909091
1707286500000,124.06,126.95,123.73,125.66,125.81368673948517818181818182,107.49267689687845818181818182,116.65318181818181818181818182
1707287400000,125.6,128.91,125.33,128.15,127.05791785709518,108.11208214290482,117.585
1707288300000,127.96,129.3,125.58,128.1,128.09320368842414181818181818,108.83043267521222181818181818,118.46181818181818181818181818
1707289200000,128.1,132.34,127.57,130.46,129.72110087374137454545454545,108.87799003534953454545454545,119.29954545454545454545454545
1707290100000,130.42,131.99,129.65,131.59,131.33219373716010727272727273,109.00235171738534727272727273,120.16727272727272727272727273
1707291000000,131.63,131.63,129.91,130.21,132.30420817280263454545454545,109.69488273628827454545454545,120.99954545454545454545454545
1707291900000,130.25,130.69,125.9,127.99,132.67935142894396909090909091,110.76883038923784909090909091,121.72409090909090909090909091
1707292800000,127.98,130.89,126.0,127.1,132.93124078737237818181818182,111.72512284899125818181818182,122.32818181818181818181818182
1707293700000,127.18,129.39,126.96,128.05,133.36344810540539818181818182,112.38291553095823818181818182,122.87318181818181818181818182
1707294600000,128.04,128.2,125.13,125.76,133.42802588876548545454545455,113.20288320214360545454545455,123.31545454545454545454545455
1707295500000,125.81,127.35,125.74,126.37,133.58517214817268727272727273,113.83937330637276727272727273,123.71227272727272727272727273
1707296400000,126.45,127.19,122.81,123.61,133.34390668409120727272727273,114.77063877045424727272727273,124.05727272727272727272727273
1707297300000,123.7,124.01,121.97,123.03,133.09451072176741818181818182,115.58185291459621818181818182,124.33818181818181818181818182
